Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,114,3,Some Random Commen with Id 0
1,0,7,106,8,Some Random Commen with Id 1
2,0,7,115,2,Some Random Commen with Id 2
3,0,7,177,7,Some Random Commen with Id 3
4,0,7,96,8,Some Random Commen with Id 4
5,0,7,117,2,Some Random Commen with Id 5
6,0,7,79,3,Some Random Commen with Id 6
7,0,7,82,4,Some Random Commen with Id 7
8,1,7,23,7,Some Random Commen with Id 8
9,1,7,2,8,Some Random Commen with Id 9
10,1,7,72,1,Some Random Commen with Id 10
11,1,7,124,1,Some Random Commen with Id 11
12,1,7,8,6,Some Random Commen with Id 12
13,1,7,153,8,Some Random Commen with Id 13
14,1,7,161,2,Some Random Commen with Id 14
15,2,1,34,7,Some Random Commen with Id 15
16,2,1,19,9,Some Random Commen with Id 16
17,2,1,179,7,Some Random Commen with Id 17
18,2,1,178,4,Some Random Commen with Id 18
19,2,1,32,2,Some Random Commen with Id 19
20,3,0,168,2,Some Random Commen with Id 20
21,3,0,172,3,Some Random Commen with Id 21
22,3,0,89,1,Some Random Commen with Id 22
23,5,3,115,5,Some Random Commen with Id 23
24,5,3,67,7,Some Random Commen with Id 24
25,5,3,33,6,Some Random Commen with Id 25
26,5,3,21,4,Some Random Commen with Id 26
27,5,3,55,5,Some Random Commen with Id 27
28,5,3,178,1,Some Random Commen with Id 28
29,5,3,186,7,Some Random Commen with Id 29
30,5,3,88,7,Some Random Commen with Id 30
31,6,7,80,8,Some Random Commen with Id 31
32,6,7,11,9,Some Random Commen with Id 32
33,8,6,164,3,Some Random Commen with Id 33
34,8,6,78,9,Some Random Commen with Id 34
35,9,5,91,1,Some Random Commen with Id 35
36,9,5,197,5,Some Random Commen with Id 36
37,11,8,152,5,Some Random Commen with Id 37
38,11,8,166,8,Some Random Commen with Id 38
39,11,8,110,3,Some Random Commen with Id 39
40,11,8,100,3,Some Random Commen with Id 40
41,11,8,190,2,Some Random Commen with Id 41
42,11,8,193,8,Some Random Commen with Id 42
43,11,8,41,4,Some Random Commen with Id 43
44,12,1,156,7,Some Random Commen with Id 44
45,12,1,166,7,Some Random Commen with Id 45
46,12,1,148,3,Some Random Commen with Id 46
47,12,1,142,2,Some Random Commen with Id 47
48,12,1,176,4,Some Random Commen with Id 48
49,12,1,83,7,Some Random Commen with Id 49
50,12,1,90,1,Some Random Commen with Id 50
51,12,1,141,4,Some Random Commen with Id 51
52,13,7,130,0,Some Random Commen with Id 52
53,13,7,2,8,Some Random Commen with Id 53
54,13,7,131,4,Some Random Commen with Id 54
55,13,7,65,0,Some Random Commen with Id 55
56,13,7,0,0,Some Random Commen with Id 56
57,13,7,133,4,Some Random Commen with Id 57
58,13,7,40,4,Some Random Commen with Id 58
59,13,7,0,8,Some Random Commen with Id 59
60,14,8,156,7,Some Random Commen with Id 60
61,14,8,113,0,Some Random Commen with Id 61
62,14,8,101,1,Some Random Commen with Id 62
63,14,8,111,4,Some Random Commen with Id 63
64,14,8,4,1,Some Random Commen with Id 64
65,14,8,1,8,Some Random Commen with Id 65
66,14,8,172,0,Some Random Commen with Id 66
67,15,1,187,8,Some Random Commen with Id 67
68,16,2,15,3,Some Random Commen with Id 68
69,16,2,175,0,Some Random Commen with Id 69
70,16,2,26,1,Some Random Commen with Id 70
71,16,2,173,3,Some Random Commen with Id 71
72,16,2,163,5,Some Random Commen with Id 72
73,17,2,138,9,Some Random Commen with Id 73
74,17,2,117,7,Some Random Commen with Id 74
75,18,4,151,8,Some Random Commen with Id 75
76,18,4,137,2,Some Random Commen with Id 76
77,18,4,35,7,Some Random Commen with Id 77
78,18,4,95,9,Some Random Commen with Id 78
79,18,4,155,7,Some Random Commen with Id 79
80,19,8,183,5,Some Random Commen with Id 80
81,19,8,91,9,Some Random Commen with Id 81
82,19,8,100,4,Some Random Commen with Id 82
83,20,2,66,0,Some Random Commen with Id 83
84,20,2,186,0,Some Random Commen with Id 84
85,20,2,72,8,Some Random Commen with Id 85
86,20,2,123,6,Some Random Commen with Id 86
87,21,8,140,5,Some Random Commen with Id 87
88,22,4,77,3,Some Random Commen with Id 88
89,24,4,112,8,Some Random Commen with Id 89
90,24,4,34,6,Some Random Commen with Id 90
91,25,2,75,9,Some Random Commen with Id 91
92,25,2,98,6,Some Random Commen with Id 92
93,25,2,184,6,Some Random Commen with Id 93
94,26,6,106,0,Some Random Commen with Id 94
95,26,6,58,5,Some Random Commen with Id 95
96,26,6,18,0,Some Random Commen with Id 96
97,26,6,159,3,Some Random Commen with Id 97
98,26,6,132,7,Some Random Commen with Id 98
99,26,6,32,9,Some Random Commen with Id 99
100,26,6,85,5,Some Random Commen with Id 100
101,26,6,129,6,Some Random Commen with Id 101
102,27,3,29,6,Some Random Commen with Id 102
103,27,3,23,2,Some Random Commen with Id 103
104,27,3,167,6,Some Random Commen with Id 104
105,28,7,69,6,Some Random Commen with Id 105
106,28,7,41,5,Some Random Commen with Id 106
107,29,6,117,8,Some Random Commen with Id 107
108,29,6,166,9,Some Random Commen with Id 108
109,29,6,52,8,Some Random Commen with Id 109
110,29,6,157,3,Some Random Commen with Id 110
111,29,6,5,3,Some Random Commen with Id 111
112,29,6,129,0,Some Random Commen with Id 112
113,29,6,149,5,Some Random Commen with Id 113
114,29,6,164,8,Some Random Commen with Id 114
115,30,3,30,2,Some Random Commen with Id 115
116,30,3,26,8,Some Random Commen with Id 116
117,30,3,183,7,Some Random Commen with Id 117
118,30,3,3,5,Some Random Commen with Id 118
119,30,3,1,2,Some Random Commen with Id 119
120,30,3,107,5,Some Random Commen with Id 120
121,30,3,165,2,Some Random Commen with Id 121
122,30,3,56,2,Some Random Commen with Id 122
123,30,3,57,0,Some Random Commen with Id 123
124,31,4,163,2,Some Random Commen with Id 124
125,32,4,109,6,Some Random Commen with Id 125
126,33,9,109,2,Some Random Commen with Id 126
127,33,9,190,5,Some Random Commen with Id 127
128,33,9,39,2,Some Random Commen with Id 128
129,33,9,157,4,Some Random Commen with Id 129
130,33,9,81,2,Some Random Commen with Id 130
131,33,9,131,1,Some Random Commen with Id 131
132,33,9,147,0,Some Random Commen with Id 132
133,34,3,57,2,Some Random Commen with Id 133
134,34,3,15,6,Some Random Commen with Id 134
135,34,3,30,9,Some Random Commen with Id 135
136,34,3,166,3,Some Random Commen with Id 136
137,34,3,126,1,Some Random Commen with Id 137
138,35,5,144,5,Some Random Commen with Id 138
139,36,4,199,3,Some Random Commen with Id 139
140,36,4,6,8,Some Random Commen with Id 140
141,36,4,164,1,Some Random Commen with Id 141
142,36,4,68,8,Some Random Commen with Id 142
143,36,4,178,3,Some Random Commen with Id 143
144,36,4,110,5,Some Random Commen with Id 144
145,36,4,53,2,Some Random Commen with Id 145
146,37,3,135,1,Some Random Commen with Id 146
147,37,3,102,5,Some Random Commen with Id 147
148,37,3,25,0,Some Random Commen with Id 148
149,37,3,175,3,Some Random Commen with Id 149
150,38,8,71,9,Some Random Commen with Id 150
151,38,8,55,6,Some Random Commen with Id 151
152,38,8,15,8,Some Random Commen with Id 152
153,38,8,127,7,Some Random Commen with Id 153
154,38,8,9,7,Some Random Commen with Id 154
155,38,8,90,7,Some Random Commen with Id 155
156,38,8,59,7,Some Random Commen with Id 156
157,39,6,56,0,Some Random Commen with Id 157
158,39,6,21,6,Some Random Commen with Id 158
159,39,6,180,4,Some Random Commen with Id 159
